Gene;Gene_ID;Phenotype;Essentiality_0_1
CDD1;YLR245C;viable;0
CDH1;YGL003C;viable;0
CDH1;YGL003C;viable;0
CDH1;YGL003C;viable;0
CEP3;YMR168C;viable;0
CEX1;YOR112W;viable;0
CFF1;YML079W;viable;0
CGI121;YML036W;viable;0
CGR1;YGL029W;viable;0
CGR1;YGL029W;viable;0
CHA1;YCL064C;viable;0
CHA4;YLR098C;viable;0
CHC1;YGL206C;viable;0
CHD1;YER164W;viable;0
CHD1;YER164W;viable;0
CHK1;YBR274W;viable;0
CHL1;YPL008W;viable;0
CHL4;YDR254W;viable;0
CHL4;YDR254W;viable;0
CHM7;YJL049W;viable;0
CHO2;YGR157W;viable;0
CHP1;YPL225W;viable;0
CHS1;YNL192W;viable;0
CHS1;YNL192W;viable;0
CHS3;YBR023C;viable;0
CHS5;YLR330W;viable;0
CHS5;YLR330W;viable;0
CHS6;YJL099W;viable;0
CHS7;YHR142W;viable;0
CHS7;YHR142W;viable;0
CHZ1;YER030W;viable;0
CIK1;YMR198W;viable;0
CIM1;YOR114W;viable;0
CIM1;YOR114W;viable;0
CIN1;YOR349W;viable;0
CIN10;YDR387C;viable;0
CIN2;YPL241C;viable;0
CIN4;YMR138W;viable;0
CIN5;YOR028C;viable;0
CIN8;YEL061C;viable;0
CIP1;YPL014W;viable;0
CIR1;YGR207C;viable;0
CIR2;YOR356W;viable;0
CIS1;YLR346C;viable;0
CIS1;YLR346C;viable;0
CIS3;YJL158C;viable;0
CIT1;YNR001C;viable;0
CIT2;YCR005C;viable;0
CIT3;YPR001W;viable;0
CIT3;YPR001W;viable;0
CKA1;YIL035C;viable;0
CKA2;YOR061W;viable;0
CKB1;YGL019W;viable;0
CKB2;YOR039W;viable;0
CKI1;YLR133W;viable;0
CKI1;YLR133W;viable;0
CKS1;YBR135W;viable;0
CKS1;YBR135W;viable;0
CLA4;YNL298W;viable;0
CLB1;YGR108W;viable;0
CLB1;YGR108W;viable;0
CLB1;YGR108W;viable;0
CLB1;YGR108W;viable;0
CLB2;YPR119W;viable;0
CLB2;YPR119W;viable;0
CLB3;YDL155W;viable;0
CLB3;YDL155W;viable;0
CLB4;YLR210W;viable;0
CLB4;YLR210W;viable;0
CLB5;YPR120C;viable;0
CLB5;YPR120C;viable;0
CLB6;YGR109C;viable;0
CLB6;YGR109C;viable;0
CLC1;YGR167W;viable;0
CLD1;YGR110W;viable;0
CLD1;YGR110W;viable;0
CLG1;YGL215W;viable;0
CLG1;YGL215W;viable;0
CLG1;YGL215W;viable;0
CLN1;YMR199W;viable;0
CLN1;YMR199W;viable;0
CLN2;YPL256C;viable;0
CLN2;YPL256C;viable;0
CLN3;YAL040C;viable;0
CLN3;YAL040C;viable;0
CLU1;YMR012W;viable;0
CMC1;YKL137W;viable;0
CMC4;YMR194C-B;viable;0
CMC4;YMR194C-B;viable;0
CMG1;YLR271W;viable;0
CMI7;YIL002W-A;viable;0
CMK1;YFR014C;viable;0
CMK2;YOL016C;viable;0
CMP2;YML057W;viable;0
CMR1;YDL156W;viable;0
CMR2;YOR093C;viable;0
CMR3;YPR013C;viable;0
CMS1;YLR003C;viable;0
CNA1;YLR433C;viable;0
CNA1;YLR433C;viable;0
CNA1;YLR433C;viable;0
CNB1;YKL190W;viable;0
CNE1;YAL058W;viable;0
CNL1;YDR357C;viable;0
CNM1;YBR063C;viable;0
CNM1;YBR063C;viable;0
CNM67;YNL225C;viable;0
CNM67;YNL225C;viable;0
CNN1;YFR046C;viable;0
COA1;YIL157C;viable;0
COA1;YIL157C;viable;0
COA2;YPL189C-A;viable;0
COA2;YPL189C-A;viable;0
COA2;YPL189C-A;viable;0
COA3;YJL062W-A;viable;0
COA3;YJL062W-A;viable;0
COA4;YLR218C;viable;0
COA6;YMR244C-A;viable;0
COG1;YGL223C;viable;0
COG1;YGL223C;viable;0
COG2;YGR120C;viable;0
COG3;YER157W;viable;0
COG5;YNL051W;viable;0
COG6;YNL041C;viable;0
COG7;YGL005C;viable;0
COG8;YML071C;viable;0
COM2;YER130C;viable;0
COQ1;YBR003W;viable;0
COQ10;YOL008W;viable;0
COQ11;YLR290C;viable;0
COQ2;YNR041C;viable;0
COQ3;YOL096C;viable;0
COQ4;YDR204W;viable;0
COQ5;YML110C;viable;0
COQ8;YGL119W;viable;0
COQ9;YLR201C;viable;0
COQ9;YLR201C;viable;0
COR1;YBL045C;viable;0
COS1;YNL336W;viable;0
COS10;YNR075W;viable;0
COS111;YBR203W;viable;0
COS111;YBR203W;viable;0
COS12;YGL263W;viable;0
COS6;YGR295C;viable;0
COS8;YHL048W;viable;0
COT1;YOR316C;viable;0
COT1;YOR316C;viable;0
COX1;Q0045;viable;0
COX10;YPL172C;viable;0
COX11;YPL132W;viable;0
COX12;YLR038C;viable;0
COX13;YGL191W;viable;0
COX14;YML129C;viable;0
COX14;YML129C;viable;0
COX15;YER141W;viable;0
COX16;YJL003W;viable;0
COX17;YLL009C;viable;0
COX18;YGR062C;viable;0
COX19;YLL018C-A;viable;0
COX20;YDR231C;viable;0
COX20;YDR231C;viable;0
COX23;YHR116W;viable;0
COX5A;YNL052W;viable;0
COX6;YHR051W;viable;0
COX7;YMR256C;viable;0
COX8;YLR395C;viable;0
COX9;YDL067C;viable;0
COY1;YKL179C;viable;0
CPA1;YOR303W;viable;0
CPA2;YJR109C;viable;0
CPD1;YGR247W;viable;0
CPP1;YBR016W;viable;0
CPP2;YDR210W;viable;0
